experiment,Temp,H2SO4,HBA_Conc,IPA,time,A,B,C,D,E,F,G,H,L,J
1,70,2.715030405,0.9,2.552128581,0,0.181002027,0,0,0,0,0,0,0,0,0
1,70,2.715030405,0.9,2.536252402,180,0.164739166,0.000174049,0.0027347,0.000896306,0.002537949,0.003959116,0.000837083,0.000703812,0,0.000380365
1,70,2.715030405,0.9,2.52313698,300,0.153468006,0.000254382,0.003764936,0.001535774,0.004336189,0.00521064,0.003404938,0.002862842,0,0.000651736
1,70,2.715030405,0.9,2.521345361,450,0.147441874,0.000201686,0.004524852,0.002719402,0.007445305,0.004848938,0.002971167,0.002498131,0,0.001154031
1,70,2.715030405,0.9,2.506621183,600,0.121537477,0.000199802,0.006366839,0.00736885,0.016424,0.004976902,0.004187651,0.00352094,0.000350956,0.003127115
1,70,2.715030405,0.9,2.484903834,900,0.086929288,0.000219987,0.008601213,0.010820966,0.028231765,0.004812538,0.006848902,0.005758497,0.000497725,0.004592087
1,70,2.715030405,0.9,2.454645849,1200,0.066927841,0.000186104,0.011136374,0.008531675,0.032009606,0.004760262,0.014876708,0.012508207,0.000621847,0.003620582
2,84,3.982044594,0.9,2.389226756,0,0.181002027,0,0,0,0,0,0,0,0,0
2,84,3.982044594,0.9,2.333855598,180,0.120194263,0.000723962,0.008302856,0.00388944,0.011111147,0.012035563,0.003720689,0.003128323,0.000746018,0.00165056
2,84,3.982044594,0.9,2.286332309,300,0.067590006,0.001199544,0.015675094,0.007185374,0.021281258,0.017813142,0.009704089,0.008159113,0.001138211,0.003049253
2,84,3.982044594,0.9,2.256657185,450,0.044353021,0.001443154,0.027588667,0.004152277,0.013950754,0.02316054,0.014421972,0.012125869,0.001118489,0.001762099
2,84,3.982044594,0.9,2.243247818,600,0.031310809,0.001631359,0.031031914,0.003409191,0.009046801,0.02859117,0.015695508,0.013196647,0.001635145,0.001446757
2,84,3.982044594,0.9,2.222771419,900,0.003864521,0.00335695,0.010831544,0.002504262,0.000227147,0.072455899,0.002375966,0.001997691,0.003912814,0.001062732
2,84,3.982044594,0.9,2.236840847,1200,0.007033957,0.002186845,0.020503626,0.00260666,0.001362367,0.051424967,0.008494379,0.007142,0.005665383,0.001106187
3,77,5.249058783,0.9,2.389226756,0,0.181002027,0,0,0,0,0,0,0,0,0
3,77,5.249058783,0.9,2.324405008,180,0.110089265,0.000890366,0.010447551,0.003754605,0.009842082,0.015054937,0.004510625,0.003792494,0.000299356,0.00159334
3,77,5.249058783,0.9,2.290451334,300,0.070754042,0.001362799,0.014888723,0.006734507,0.017236167,0.022271128,0.006915159,0.005814206,0.000721024,0.002857919
3,77,5.249058783,0.9,2.25023976,450,0.037507526,0.002014768,0.023835687,0.003943538,0.012846372,0.033706556,0.010959019,0.009214248,0.001093237,0.001673517
3,77,5.249058783,0.9,2.239926907,600,0.024263184,0.002174513,0.026526623,0.002705065,0.005899744,0.041326372,0.010682075,0.008981395,0.003757588,0.001147947
3,77,5.249058783,0.9,2.226717705,900,0.008819115,0.002961421,0.018923985,0.002296868,0.000969462,0.061489247,0.005558563,0.004673591,0.004018224,0.000974721
3,77,5.249058783,0.9,2.219187902,1200,0.001630177,0.00341551,0.010405369,0.000841396,0.001051174,0.075075258,0.001672095,0.001405883,0.003803159,0.000357063
4,89,4.706052,0.9,2.624529392,0,0.181002027,0,0,0,0,0,0,0,0,0
4,89,4.706052,0.9,2.530633929,180,0.072637225,0.001717528,0.012099255,0.004328644,0.012831073,0.025268583,0.005570147,0.004683332,0.003981735,0.001836944
4,89,4.706052,0.9,2.473015432,300,0.022331786,0.002788053,0.026376386,0.002999064,0.005786556,0.044501764,0.009186479,0.007723912,0.00164866,0.001272711
4,89,4.706052,0.9,2.462240175,450,0.006421705,0.003249671,0.019081334,0.002647101,0.001088663,0.06025306,0.006121143,0.005146604,0.003214502,0.001123349
4,89,4.706052,0.9,2.468047065,600,0.001471607,0.003276493,0.011150597,0.002533177,0.000187895,0.068392416,0.00169417,0.001424444,0.005876727,0.001075003
4,89,4.706052,0.9,2.474555518,900,0.000145972,0.003599474,0.005078784,0.002438779,0,0.070647808,0,0,0.007899907,0.001034943
4,89,4.706052,0.9,2.482322667,1200,0.001477075,0.00380229,0.003934611,0.002233206,0,0.067234912,0,0,0.010281726,0.000947705
5,74,6.878076,0.9,2.28062554,0,0.181002027,0,0,0,0,0,0,0,0,0
5,74,6.878076,0.9,2.1886396,180,0.08015133,0.001540604,0.01592993,0.005115179,0.012999156,0.022468432,0.005526462,0.004646601,0.000850625,0.002170726
5,74,6.878076,0.9,2.148760836,300,0.04377035,0.002225274,0.023904783,0.003513668,0.012798118,0.035782998,0.007123511,0.005989386,0.000856801,0.001491094
5,74,6.878076,0.9,2.123535104,450,0.020878103,0.00276458,0.027345304,0.001644346,0.004119447,0.050509567,0.007280657,0.006121513,0.00207571,0.00069781
5,74,6.878076,0.9,2.105327395,600,0.006189043,0.003810019,0.015840375,0.00110022,0.000422623,0.073270418,0.002894764,0.002433892,0.001684851,0.0004669
5,74,6.878076,0.9,2.099271934,900,0.000903352,0.004163064,0.007339422,0.000722605,0.00104044,0.082999435,0.00093727,0.000788048,0.002335788,0.000306652
5,74,6.878076,0.9,2.098098149,1200,0,0.004686274,0.003914417,0.000622477,0,0.08696335,0,0,0.002894718,0.00026416
6,84,5.792064,0.9,2.371126554,0,0.181002027,0,0,0,0,0,0,0,0,0
6,84,5.792064,0.9,2.272060404,180,0.071840239,0.001512126,0.014931123,0.006035619,0.016581755,0.022875212,0.006763574,0.005686754,0.000488739,0.002561332
6,84,5.792064,0.9,2.214967491,300,0.02209836,0.002159997,0.028667045,0.001919941,0.004844839,0.04683684,0.008937834,0.007514853,0.001562286,0.000814764
6,84,5.792064,0.9,2.20592802,450,0.010270026,0.002911573,0.023615193,0.000798321,0.001712482,0.060178259,0.005534256,0.004653154,0.002259677,0.000338783
